name_with_abstract,category
NESNELERİ ÜÇ BOYUTLU OLARAK TARAYAN CİHAZ VE ÖN İZLEME UYGULAMASI Bu buluş mobil ve web tabanlı uygulaması ile nesnelerin üç boyutlu haritasını çıkartan ve internet alışverişlerinde alınacak eşyanın sanal ortamda yerleştirilerek nesneleri üç boyutlu olarak tarayan cihaz ve ön izleme uygulaması ile ilgili olup özelliği web ve mobil tabanlı alışveriş platformlarına giriş yapan kullanıcının mobil cihazına monte edilen ve tarama sensörü içeren cihaz (1) kullanıcının cihaz (1) tarafından vücudunu taratması sonucu beden ölçülerine ait verilerin iletildiği tarama modülü (2) kullanıcının beden ölçülerini girdiği veri giriş modülü (3) tarama modülü (2) ve veri giriş modülünden (3) aldığı verileri analiz ederek kullanıcının üç boyutlu modelinin oluşturulduğu model oluşturma modülü (4) kullanıcının satın almak istediği ürünü oluşturulan model üzerinde denediği ürün yerleştirme modülü (5) kullanıcının sanal gerçeklik ortamında ürünü beğenmesi sonucu satın alma bölümüne yönlendiren alışveriş modülünden (6) meydana gelmesidir. ,Artırılmış ve Sanal Gerçeklik
BİR KÖPRÜLÜ VİNÇ SİMÜLATÖRÜNDE UYGULAMAK İÇİN BİR EĞİTİM SİSTEMİ Buluş bir operatörünün eğitilmesi için bir köprülü vinç ve bahsedilen köprülü vincin kullanılacağı ortama dair bileşenlerin üç boyutlu sanal ortam objeleri vasıtasıyla simüle edildiği bir sanal gerçeklik ortamını üreten bir kontrol birimine (300) operatörün (500) oturması için sağlanmış ve en az bir düzlemde hareket edebilecek şekilde yapılandırılmış bir simülasyon koltuğuna (100) simülasyon (110) koltuğu civarında sanal gerçeklik ortamında köprülü vince ilişkin sanal ortam objelerinin hareket ettirilmesi için kullanıcı girişleri yapılmasına izin veren en az bir kullanıcı arayüzüne (200) operatör tarafından ve bahsedilen sanal gerçeklik ortamının görüntülenmesi için bir görüntüleme birimine (400) sahip bir köprülü vinç simülasyon sisteminde kullanmak için bir köprülü vinç eğitim sistemidir (10). Şekil 1,Artırılmış ve Sanal Gerçeklik
BİR SANAL GERÇEKLİĞİ ARTTIRILMIŞ KÖPRÜLÜ VİNÇ SİMÜLATÖRÜ Buluş bir operatörünün eğitilmesi için bir köprülü vinç ve bahsedilen köprülü vincin kullanılacağı ortama dair bileşenlerin üç boyutlu sanal ortam objeleri vasıtasıyla simüle edildiği bir sanal gerçeklik ortamını üreten bir kontrol birimine (300) sahip bir köprülü vinç simülasyon sistemidir (10). Şekil 2,Artırılmış ve Sanal Gerçeklik
Artırılmış gerçeklik sanal gerçeklik ve robotik uygulamalara müdahale etmenizi sağlayan akıllı eldiven platformu. Akıllı Eldiven ilerleyen yıllarda oldukça yoğun olarak kullanılacak olan Artırılmış Gerçeklik Sanal Gerçeklik ve Robotik platformlara erişim sağlanarak ellerin konumunu parmakların açısını ve duruş şeklini dijital verilere çevirip bahsi geçen ortamlara aktarıp müdahale etmenizi ve bu platformlardaki nesnelere dokunarak etkileşime girmeyi sağlayan bir buluştur. ,Artırılmış ve Sanal Gerçeklik
GAYRİMENKULLERİ SANAL GERÇEKLİK VASITASI İLE DENEYİMLEMEYİ SAĞLAYAN WEBVR ALTYAPISINA SAHİP SANAL GERÇEKLİK SİSTEMİ Buluş inşaat sektöründe müşterilerine gayrimenkul satmak isteyen firmaların pazarlamalarını sanal gerçeklik gözlüğü aracılığı ile güneş hareketleri evin konumu manzarası iç dekorasyonu gibi kriterlerin programlanmasını ve tasarlanmasına altyapı sunan gerçekçi ve en doğru şekilde sağlamayı amaçlayan yazılım platformları içeren inşaat sektöründe yer almakta olan maket model ve örnek daire uygulamalarının yerine pazarlama alanında yenilikçi ve gelişmiş bir çözüm sunarak kullanıcıya almak istediği dairenin 360 derece kat manzarası içerisinde gezinme güneşin mevsimlere bağlı simülasyon hareketleri gibi özellikleri sanal gerçeklik gözlüğü sistemi ile sunan bir sanal gerçeklik sistemi ile ilgilidir. ,Artırılmış ve Sanal Gerçeklik
ÇEŞİTLİ ARAÇLARA UYGULANMAK ÜZERE SANAL GERÇEKLİK SİSTEMİ Buluş başta yolcu taşıma uçaklarında uygulanmak üzere hareketli hava kara ve deniz araçlarında (A) sanal gerçeklik uygulamalarını kullanarak yolculara 360 görüş açısı ile aktaran bir sanal gerçeklik sistemi (1) olup özelliği araç (A) etrafından 360 bir açı ile görüntü toplayabilecek şekilde aracın (A) etrafına yerleştirilmiş çok sayıda kamera (20) içermesi kameralardan (20) gelen görüntüleri işleyerek VR gözlüklere (30) ileten bir sunucu (10) içermesi her bir yolcu (B) koltuğunda bulunan ve kameralardan (20) alınarak sunucuda (10) işlenen sanal gerçeklik görüntüsünü yolcunun (B) izleyebilmesini sağlayan VR gözlük (30) içermesi ile karakterize edilmesidir. ,Artırılmış ve Sanal Gerçeklik
BİR AKILLI CİHAZ UYGULAMASI Buluş akıllı cihazlarda (1) kullanılan uygulamalar ile ilgili olup özelliği üç boyutlu GPS sistemi kamera internet bağlantı sistemleri içerisinde barındırarak tek bir uygulamayla tüm elde edilmek istenen bilgiyi aynı anda tüm sanal ortam uygulama sayesinde iki boyutlu sayfa görünümden sanal gerçeklik olarak nitelendirilen AR ortamına aktarılmasını sağlamak üzere akıllı cihaz (1) içerisindeki kontrol ünitesi GPS kamera internet bağlantılarını kullanarak veri tabanlarına erişimlerini gerçekleştiren üç boyutlu yer bulma iletişim ağa kayıtlı kişilerin profillerini tanımlama tarihi yerler hakkında bilgi bulunduğunuz yerde aynı anda resim çekip o yere bırakma tekrar aynı yere geldiğinden kameranı açtığında paylaştığın anıları görüntüleyebilme kişinin üzerinde giysilerle alış veriş yapmasını sağlayan uygulama ara yüzleri (3) ve menülerin bulunduğu menü ara yüzleri (2) içermesi ile karakterize edilmektedir,Artırılmış ve Sanal Gerçeklik
KARMA GERÇEKLİK HAYALET PROTOKOLÜ Bu buluş deneyimcinin ve mekanın konumlandırma bilgileri ile eşleştirilen sanal ortam düzenlemelerini çoklu kullanıcıların aynı anda aynı fiziki mekan içinde sanal gerçeklik (virtual reality) sistemleri vasıtasıyla fiziki mekanla ve birbirleriyle etkileşim halinde oldukları karma gerçeklik (mixed reality) ortamınında mekanla ve diğer deneyimcilerle sanal ve gerçek temasını ve etkileşimini düzenleme ile ilgilidir. ,Artırılmış ve Sanal Gerçeklik
Doğum Kolaylaştırma Sistemi Doğum sürecindeki ve doğumdaki kadınların görme işitme ve koku alma duyularına etki edip zihinlerinin olumluya odaklanmasını sağlayarak bedenlerinde gevşeme meydana getiren doğumu ağrısız kolay keyifli bir deneyim haline dönüştüren ve doğumu hızlandıran doğum kolaylaştırma sistemi olup özelliği doğum yapan hastaya görsellerin gösterilmesini sağlayan sanal gerçeklik gözlüğü (100) seslerin dinletilmesini sağlayan kulaklık (101) uçucu yağ salınımı sağlayan ünite (102)içermesidir. ,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK ORTAMINDA OYUN TERAPİ SİSTEMİ Buluş dikkat konsantrasyon hafıza denge-koordinasyon gibi fonksiyonlarda zorluk yaşayan veya bu fonksiyonlarını geliştirmek isteyen hasta veya sağlıklı gruplara özgü sanal gerçeklik teknolojisini kullanan bir terapi sistemi (1) olup özelliği kişilerin üst ve alt bölümündeki hareketleri algılamak üzere bir giysi veya mekanizma olabilen üst ekstremite (31) ve alt ekstremiteden (32) oluşan hareket algılayıcı giysi (30) içermesi bahsedilen hareket algılayıcı giysi (30) üzerinde kişilerin gövde ve uzuvlarına denk gelecek şekilde konumlandırılmış hareket mesafelerinin ölçümünü yapan çok sayıda mesafe sensörü (33) içermesi yine hareket algılayıcı giysi (30) üzerinde kişilerin gövde ve uzuvlarına denk gelecek şekilde konumlandırılmış hareket hızlarının ölçümünü yapan çok sayıda ivme sensörü (34) içermesi bahsedilen ivme sensörü (34) ve mesafe sensörlerinden (33) gelen verileri kablosuz ağ bağlantıları yardımı ile sunucuya (10) aktaran kablosuz veri aktarım modülü (40) içermesi ile karakterize edilmesidir. ,Artırılmış ve Sanal Gerçeklik
