name,category
NESNELERİ ÜÇ BOYUTLU OLARAK TARAYAN CİHAZ VE ÖN İZLEME UYGULAMASI,Artırılmış ve Sanal Gerçeklik
BİR KÖPRÜLÜ VİNÇ SİMÜLATÖRÜNDE UYGULAMAK İÇİN BİR EĞİTİM SİSTEMİ,Artırılmış ve Sanal Gerçeklik
BİR SANAL GERÇEKLİĞİ ARTTIRILMIŞ KÖPRÜLÜ VİNÇ SİMÜLATÖRÜ,Artırılmış ve Sanal Gerçeklik
Artırılmış gerçeklik sanal gerçeklik ve robotik uygulamalara müdahale etmenizi sağlayan akıllı eldiven platformu.,Artırılmış ve Sanal Gerçeklik
GAYRİMENKULLERİ SANAL GERÇEKLİK VASITASI İLE DENEYİMLEMEYİ SAĞLAYAN WEBVR ALTYAPISINA SAHİP SANAL GERÇEKLİK SİSTEMİ,Artırılmış ve Sanal Gerçeklik
ÇEŞİTLİ ARAÇLARA UYGULANMAK ÜZERE SANAL GERÇEKLİK SİSTEMİ,Artırılmış ve Sanal Gerçeklik
BİR AKILLI CİHAZ UYGULAMASI,Artırılmış ve Sanal Gerçeklik
KARMA GERÇEKLİK HAYALET PROTOKOLÜ,Artırılmış ve Sanal Gerçeklik
Doğum Kolaylaştırma Sistemi,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK ORTAMINDA OYUN TERAPİ SİSTEMİ,Artırılmış ve Sanal Gerçeklik
SINAV KAYGISI ÖLÇME SİSTEMİ VE YÖNTEMİ,Artırılmış ve Sanal Gerçeklik
BİR CİHAZ VE BU CİHAZIN ÇALIŞMASINI SAĞLAYAN PLATFORM,Artırılmış ve Sanal Gerçeklik
YEM TESİSLERİ İÇİN AKILLI PROSES TAKİP SİSTEMİ,Artırılmış ve Sanal Gerçeklik
MÜZİK İLE İLİŞKİLİ OLARAK SANAL GERÇEKLİK SENARYOLARININ DEĞİŞTİRİLMESİNİ SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
TARİHİ OLAYLARIN SANAL ORTAMDA SUNULMASINI SAĞLAYAN BİR SİSTEM,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK TEKNOLOJİSİNDE ELEKTROMANYETİK FREKANSLARIN KULLANILMASI,Artırılmış ve Sanal Gerçeklik
ÇOKLU DUYUSAL DENEYİM KABİN PLATFORMU,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK BAZLI KİŞİLİK ANALİZİ PLATFORMU,Artırılmış ve Sanal Gerçeklik
TAKTİKSEL FUTBOL ANTRENMANLARINDA SANAL GERÇEKLİK CİHAZI,Artırılmış ve Sanal Gerçeklik
BİR TELEVİZYON VE BUNUNLA KULLANILMAYA UYGUN BİR SANAL GERÇEKLİK GÖZLÜĞÜ,Artırılmış ve Sanal Gerçeklik
GÖRME ALANI TESTİ İÇİN TAŞINABİLİR SANAL GERÇEKLİK CİHAZI,Artırılmış ve Sanal Gerçeklik
SANAL GERÇEKLİK GÖZLÜĞÜNDE YAPILAN GELİŞTİRME,Artırılmış ve Sanal Gerçeklik
ÇOKLU EKRAN GÖRÜNTÜLEME SİSTEMİ UZAKTAN KUMANDA ETME YÖNTEMİ,Artırılmış ve Sanal Gerçeklik
Bulut ve servis tabanlı yapay zeka destekli simülasyon eğitim platformu sistemi ve yöntemi,Artırılmış ve Sanal Gerçeklik
BİSİKLET SİMÜLATÖRÜ,Artırılmış ve Sanal Gerçeklik
TEKERLEKLİ SANDALYE SİMÜLATÖRÜ,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklik uygulamaları için bir sistem ve çalışma yöntemi.,Artırılmış ve Sanal Gerçeklik
Sanal gerçeklik uygulamaları için bir sistem ve çalışma yöntemi.,Artırılmış ve Sanal Gerçeklik
SANAL ORTAMDA SENARYO BAZLI BİR ETKİNLİK SİSTEMİ,Artırılmış ve Sanal Gerçeklik
